-0.002,-6.99,NaN,-0.969
-6.982,-7.016,-0.971,-0.963
-6.974,-7.042,-0.973,-0.957
-6.968,-7.069,-0.976,-0.952
-6.961,-7.096,-0.978,-0.947
-6.956,-7.125,-0.981,-0.942
-6.951,-7.153,-0.984,-0.938
-6.946,-7.183,-0.986,-0.934
-6.943,-7.212,-0.989,-0.93
-6.939,-7.243,-0.993,-0.927
-6.937,-7.274,-0.996,-0.925
-6.935,-7.305,-0.999,-0.923
-6.934,-7.338,-1.003,-0.921
-6.933,-7.37,-1.007,-0.92
-6.933,-7.404,-1.011,-0.919
-6.934,-7.438,-1.015,-0.919
-6.935,-7.472,-1.019,-0.919
-6.937,-7.507,-1.023,-0.92
-6.94,-7.543,-1.028,-0.921
-6.943,-7.579,-1.033,-0.923
-6.947,-7.615,-1.037,-0.925
-6.952,-7.653,-1.042,-0.928
-6.957,-7.69,-1.048,-0.931
-6.963,-7.729,-1.053,-0.935
-6.97,-7.768,-1.059,-0.94
-6.978,-7.807,-1.064,-0.945
-6.986,-7.847,-1.07,-0.95
-6.995,-7.887,-1.076,-0.956
-7.004,-7.928,-1.083,-0.962
-7.015,-7.969,-1.089,-0.969
-7.026,-8.011,-1.096,-0.977
-7.037,-8.053,-1.103,-0.985
-7.05,-8.096,-1.11,-0.993
-7.063,-8.139,-1.117,-1.002
-7.077,-8.183,-1.124,-1.012
-7.091,-8.226,-1.131,-1.022
-7.106,-8.271,-1.139,-1.033
-7.122,-8.315,-1.147,-1.044
-7.139,-8.36,-1.155,-1.055
-7.156,-8.406,-1.163,-1.067
-7.174,-8.451,-1.171,-1.08
-7.192,-8.497,-1.179,-1.093
-7.211,-8.544,-1.188,-1.107
-7.231,-8.59,-1.197,-1.121
-7.252,-8.637,-1.205,-1.135
-7.273,-8.684,-1.214,-1.15
-7.295,-8.731,-1.223,-1.165
-7.317,-8.779,-1.233,-1.181
-7.34,-8.826,-1.242,-1.198
-7.364,-8.874,-1.251,-1.214
-7.388,-8.922,-1.261,-1.231
-7.413,-8.97,-1.271,-1.249
-7.439,-9.018,-1.28,-1.267
-7.465,-9.066,-1.29,-1.285
-7.492,-9.115,-1.3,-1.303
-7.519,-9.163,-1.31,-1.322
-7.547,-9.211,-1.321,-1.342
-7.575,-9.26,-1.331,-1.361
-7.604,-9.308,-1.341,-1.381
-7.634,-9.357,-1.351,-1.402
-7.664,-9.405,-1.362,-1.422
-7.695,-9.453,-1.372,-1.443
-7.726,-9.501,-1.383,-1.464
-7.758,-9.549,-1.393,-1.486
-7.79,-9.597,-1.404,-1.508
-7.823,-9.645,-1.415,-1.529
-7.856,-9.693,-1.426,-1.552
-7.89,-9.741,-1.436,-1.574
-7.924,-9.788,-1.447,-1.597
-7.959,-9.835,-1.458,-1.619
-7.994,-9.882,-1.469,-1.642
-8.03,-9.929,-1.479,-1.665
-8.066,-9.975,-1.49,-1.689
-8.103,-10.022,-1.501,-1.712
-8.14,-10.068,-1.512,-1.736
-8.178,-10.113,-1.523,-1.76
-8.216,-10.159,-1.533,-1.783
-8.254,-10.204,-1.544,-1.807
-8.293,-10.249,-1.555,-1.831
-8.333,-10.293,-1.566,-1.855
-8.372,-10.337,-1.576,-1.879
-8.413,-10.381,-1.587,-1.904
-8.454,-10.424,-1.597,-1.928
-8.495,-10.468,-1.608,-1.952
-8.536,-10.51,-1.619,-1.977
-8.578,-10.553,-1.629,-2.001
-8.621,-10.595,-1.639,-2.025
-8.664,-10.636,-1.65,-2.049
-8.707,-10.677,-1.66,-2.074
-8.751,-10.718,-1.67,-2.098
-8.795,-10.759,-1.681,-2.122
-8.839,-10.799,-1.691,-2.146
-8.884,-10.838,-1.701,-2.171
-8.93,-10.877,-1.711,-2.195
-8.975,-10.916,-1.721,-2.219
-9.022,-10.954,-1.73,-2.243
-9.068,-10.992,-1.74,-2.266
-9.115,-11.03,-1.75,-2.29
-9.163,-11.067,-1.759,-2.314
-9.211,-11.103,-1.769,-2.337
-9.259,-11.14,-1.778,-2.361
-9.308,-11.175,-1.787,-2.384
-9.357,-11.211,-1.797,-2.407
-9.406,-11.246,-1.806,-2.43
-9.457,-11.28,-1.815,-2.453
-9.507,-11.314,-1.824,-2.476
-9.558,-11.348,-1.833,-2.499
-9.609,-11.381,-1.841,-2.521
-9.661,-11.414,-1.85,-2.543
-9.713,-11.446,-1.859,-2.565
-9.766,-11.478,-1.867,-2.587
-9.819,-11.51,-1.875,-2.609
-9.873,-11.541,-1.884,-2.63
-9.927,-11.572,-1.892,-2.652
-9.982,-11.602,-1.9,-2.673
-10.037,-11.632,-1.908,-2.694
-10.093,-11.662,-1.916,-2.715
-10.149,-11.691,-1.923,-2.735
-10.206,-11.72,-1.931,-2.756
-10.263,-11.748,-1.939,-2.776
-10.321,-11.777,-1.946,-2.796
-10.379,-11.804,-1.953,-2.815
-10.438,-11.832,-1.961,-2.835
-10.497,-11.859,-1.968,-2.854
-10.557,-11.885,-1.975,-2.873
-10.617,-11.912,-1.982,-2.892
-10.678,-11.938,-1.989,-2.91
-10.74,-11.963,-1.996,-2.929
-10.802,-11.989,-2.002,-2.947
-10.865,-12.014,-2.009,-2.965
-10.929,-12.039,-2.015,-2.982
-10.993,-12.063,-2.022,-3
-11.057,-12.087,-2.028,-3.017
-11.123,-12.111,-2.034,-3.034
-11.189,-12.134,-2.041,-3.05
-11.256,-12.158,-2.047,-3.067
-11.323,-12.18,-2.053,-3.083
-11.391,-12.203,-2.059,-3.099
-11.46,-12.225,-2.064,-3.115
-11.529,-12.248,-2.07,-3.13
-11.6,-12.269,-2.076,-3.146
-11.671,-12.291,-2.081,-3.161
-11.743,-12.312,-2.087,-3.175
-11.815,-12.333,-2.092,-3.19
-11.889,-12.354,-2.098,-3.204
-11.963,-12.375,-2.103,-3.219
-12.038,-12.395,-2.108,-3.232
